Strain	Bead	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR5	M	5	5	21	1	1,29	2	4463
CR5	M	5	5	21	1	1,29	3	4112
CR5	M	3	5	21	1	1,29	1	2441
CR5	M	3	5	21	1	1,29	2	2464
CR5	M	3	5	21	1	1,29	3	2442
CR5	M	1	5	21	1	1,29	1	712
CR5	M	1	5	21	1	1,29	2	734
CR5	M	1	5	21	1	1,29	3	770
CR5	M	0,5	5	21	1	1,29	1	410
CR5	M	0,5	5	21	1	1,29	2	438
CR5	M	0,5	5	21	1	1,29	3	429
CR5	M	0,2	5	21	1	1,29	1	188
CR5	M	0,2	5	21	1	1,29	2	170
CR5	M	0,2	5	21	1	1,29	3	158
CR6	M	7,5	5	21	1	1,29	1	6138
CR6	M	7,5	5	21	1	1,29	2	5817
CR6	M	7,5	5	21	1	1,29	3	6197
CR6	M	5	5	21	1	1,29	1	4175
CR6	M	5	5	21	1	1,29	2	4113
CR6	M	5	5	21	1	1,29	3	4013
CR6	M	3	5	21	1	1,29	1	2557
CR6	M	3	5	21	1	1,29	2	2339
CR6	M	3	5	21	1	1,29	3	2407
CR6	M	1	5	21	1	1,29	1	800
CR6	M	1	5	21	1	1,29	2	748
CR6	M	1	5	21	1	1,29	3	808
CR6	M	0,5	5	21	1	1,29	1	443
CR6	M	0,5	5	21	1	1,29	2	468
CR6	M	0,5	5	21	1	1,29	3	470
CR6	M	0,2	5	21	1	1,29	1	190
CR6	M	0,2	5	21	1	1,29	2	163
CR6	M	0,2	5	21	1	1,29	3	159
CR1	H	7,5	5	21	1	1,29	1	5568
CR1	H	7,5	5	21	1	1,29	2	5563
CR1	H	7,5	5	21	1	1,29	3	5629
CR1	H	5	5	21	1	1,29	1	3585
CR1	H	5	5	21	1	1,29	2	3449
CR1	H	5	5	21	1	1,29	3	3513
CR1	H	3	5	21	1	1,29	1	1853
CR1	H	3	5	21	1	1,29	2	2013
CR1	H	3	5	21	1	1,29	3	2020
CR1	H	1	5	21	1	1,29	1	550
CR1	H	1	5	21	1	1,29	2	567
CR1	H	1	5	21	1	1,29	3	557
CR1	H	0,5	5	21	1	1,29	1	202
CR1	H	0,5	5	21	1	1,29	2	219
CR1	H	0,5	5	21	1	1,29	3	226
CR1	H	0,2	5	21	1	1,29	1	81
CR1	H	0,2	5	21	1	1,29	2	73
CR1	H	0,2	5	21	1	1,29	3	74
CR2	H	7,5	5	21	1	1,29	1	4649
CR2	H	7,5	5	21	1	1,29	2	4705
CR2	H	7,5	5	21	1	1,29	3	4911
CR2	H	5	5	21	1	1,29	1	3202
CR2	H	5	5	21	1	1,29	2	3248
CR2	H	5	5	21	1	1,29	3	3196
CR2	H	3	5	21	1	1,29	1	1731
CR2	H	3	5	21	1	1,29	2	1707
CR2	H	3	5	21	1	1,29	3	1681
CR2	H	1	5	21	1	1,29	1	513
CR2	H	1	5	21	1	1,29	2	508
CR2	H	1	5	21	1	1,29	3	542
CR2	H	0,5	5	21	1	1,29	1	216
CR2	H	0,5	5	21	1	1,29	2	219
CR2	H	0,5	5	21	1	1,29	3	209
CR2	H	0,2	5	21	1	1,29	1	79
CR2	H	0,2	5	21	1	1,29	2	81
CR2	H	0,2	5	21	1	1,29	3	94
CR3	H	7,5	5	21	1	1,29	1	5290
CR3	H	7,5	5	21	1	1,29	2	5376
CR3	H	7,5	5	21	1	1,29	3	5247
CR3	H	5	5	21	1	1,29	1	3721
CR3	H	5	5	21	1	1,29	2	3556
CR3	H	5	5	21	1	1,29	3	3612
CR3	H	3	5	21	1	1,29	1	2002
CR3	H	3	5	21	1	1,29	2	2017
CR3	H	3	5	21	1	1,29	3	2079
CR3	H	1	5	21	1	1,29	1	618
CR3	H	1	5	21	1	1,29	2	664
CR3	H	1	5	21	1	1,29	3	658
CR3	H	0,5	5	21	1	1,29	1	299
CR3	H	0,5	5	21	1	1,29	2	293
CR3	H	0,5	5	21	1	1,29	3	319
CR3	H	0,2	5	21	1	1,29	1	117
CR3	H	0,2	5	21	1	1,29	2	93
CR3	H	0,2	5	21	1	1,29	3	101
CR4	H	7,5	5	21	1	1,29	1	6337
CR4	H	7,5	5	21	1	1,29	2	6417
CR4	H	7,5	5	21	1	1,29	3	6326
CR4	H	5	5	21	1	1,29	1	4392
