"Strain"	"Bead"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"
"CR5"	"L"	11.1	0.0506	0.04048	0.06072
"CR5"	"L"	11.2	0.0506	0.04048	0.06072
"CR5"	"L"	11.3	0.0507	0.04056	0.06084
"CR5"	"L"	11.4	0.0508	0.04064	0.06096
"CR5"	"L"	11.5	0.0508	0.04064	0.06096
"CR5"	"L"	11.6	0.0508	0.04064	0.06096
"CR5"	"L"	11.7	0.0509	0.04072	0.06108
"CR5"	"L"	11.8	0.0509	0.04072	0.06108
"CR5"	"L"	11.9	0.051	0.0408	0.0612
"CR5"	"L"	12	0.051	0.0408	0.0612
"CR5"	"L"	12.1	0.051	0.0408	0.0612
"CR5"	"L"	12.2	0.0511	0.04088	0.06132
"CR5"	"L"	12.3	0.0512	0.04096	0.06144
"CR5"	"L"	12.4	0.0512	0.04096	0.06144
"CR5"	"L"	12.5	0.0512	0.04096	0.06144
"CR5"	"L"	12.6	0.0512	0.04096	0.06144
"CR5"	"L"	12.7	0.0513	0.04104	0.06156
"CR5"	"L"	12.8	0.0513	0.04104	0.06156
"CR5"	"L"	12.9	0.0514	0.04112	0.06168
"CR5"	"L"	13	0.0514	0.04112	0.06168
"CR5"	"L"	13.1	0.0515	0.0412	0.0618
"CR5"	"L"	13.2	0.0515	0.0412	0.0618
"CR5"	"L"	13.3	0.0515	0.0412	0.0618
"CR5"	"L"	13.4	0.0516	0.04128	0.06192
"CR5"	"L"	13.5	0.0516	0.04128	0.06192
"CR5"	"L"	13.6	0.0516	0.04128	0.06192
"CR5"	"L"	13.7	0.0516	0.04128	0.06192
"CR5"	"L"	13.8	0.0517	0.04136	0.06204
"CR5"	"L"	13.9	0.0517	0.04136	0.06204
"CR5"	"L"	14	0.0517	0.04136	0.06204
"CR5"	"L"	14.1	0.0518	0.04144	0.06216
"CR5"	"L"	14.2	0.0518	0.04144	0.06216
"CR5"	"L"	14.3	0.0518	0.04144	0.06216
"CR5"	"L"	14.4	0.0518	0.04144	0.06216
"CR5"	"L"	14.5	0.0519	0.04152	0.06228
"CR5"	"L"	14.6	0.0519	0.04152	0.06228
"CR5"	"L"	14.7	0.052	0.0416	0.0624
"CR5"	"L"	14.8	0.052	0.0416	0.0624
"CR5"	"L"	14.9	0.052	0.0416	0.0624
"CR5"	"L"	15	0.052	0.0416	0.0624
"CR6"	"L"	0.1	0.0048	0.00384	0.00576
"CR6"	"L"	0.2	0.0092	0.00736	0.01104
"CR6"	"L"	0.3	0.0132	0.01056	0.01584
"CR6"	"L"	0.4	0.0168	0.01344	0.02016
"CR6"	"L"	0.5	0.0202	0.01616	0.02424
"CR6"	"L"	0.6	0.0233	0.01864	0.02796
"CR6"	"L"	0.7	0.0262	0.02096	0.03144
"CR6"	"L"	0.8	0.0289	0.02312	0.03468
"CR6"	"L"	0.9	0.0314	0.02512	0.03768
"CR6"	"L"	1	0.0338	0.02704	0.04056
"CR6"	"L"	1.1	0.0359	0.02872	0.04308
"CR6"	"L"	1.2	0.0379	0.03032	0.04548
"CR6"	"L"	1.3	0.0399	0.03192	0.04788
"CR6"	"L"	1.4	0.0416	0.03328	0.04992
"CR6"	"L"	1.5	0.0434	0.03472	0.05208
"CR6"	"L"	1.6	0.0449	0.03592	0.05388
"CR6"	"L"	1.7	0.0464	0.03712	0.05568
"CR6"	"L"	1.8	0.0478	0.03824	0.05736
"CR6"	"L"	1.9	0.0492	0.03936	0.05904
"CR6"	"L"	2	0.0504	0.04032	0.06048
"CR6"	"L"	2.1	0.0516	0.04128	0.06192
"CR6"	"L"	2.2	0.0528	0.04224	0.06336
"CR6"	"L"	2.3	0.0539	0.04312	0.06468
"CR6"	"L"	2.4	0.0549	0.04392	0.06588
"CR6"	"L"	2.5	0.0559	0.04472	0.06708
"CR6"	"L"	2.6	0.0568	0.04544	0.06816
"CR6"	"L"	2.7	0.0578	0.04624	0.06936
"CR6"	"L"	2.8	0.0586	0.04688	0.07032
"CR6"	"L"	2.9	0.0595	0.0476	0.0714
"CR6"	"L"	3	0.0602	0.04816	0.07224
"CR6"	"L"	3.1	0.061	0.0488	0.0732
"CR6"	"L"	3.2	0.0617	0.04936	0.07404
"CR6"	"L"	3.3	0.0624	0.04992	0.07488
"CR6"	"L"	3.4	0.0631	0.05048	0.07572
"CR6"	"L"	3.5	0.0637	0.05096	0.07644
"CR6"	"L"	3.6	0.0644	0.05152	0.07728
"CR6"	"L"	3.7	0.0649	0.05192	0.07788
"CR6"	"L"	3.8	0.0655	0.0524	0.0786
"CR6"	"L"	3.9	0.0661	0.05288	0.07932
"CR6"	"L"	4	0.0666	0.05328	0.07992
"CR6"	"L"	4.1	0.0671	0.05368	0.08052
"CR6"	"L"	4.2	0.0676	0.05408	0.08112
"CR6"	"L"	4.3	0.0681	0.05448	0.08172
"CR6"	"L"	4.4	0.0686	0.05488	0.08232
"CR6"	"L"	4.5	0.069	0.0552	0.0828
"CR6"	"L"	4.6	0.0695	0.0556	0.0834
"CR6"	"L"	4.7	0.0699	0.05592	0.08388
"CR6"	"L"	4.8	0.0703	0.05624	0.08436
"CR6"	"L"	4.9	0.0707	0.05656	0.08484
"CR6"	"L"	5	0.0711	0.05688	0.08532
"CR6"	"L"	5.1	0.0715	0.0572	0.0858
"CR6"	"L"	5.2	0.0718	0.05744	0.08616
"CR6"	"L"	5.3	0.0722	0.05776	0.08664
"CR6"	"L"	5.4	0.0725	0.058	0.087
"CR6"	"L"	5.5	0.0729	0.05832	0.08748
"CR6"	"L"	5.6	0.0732	0.05856	0.08784
"CR6"	"L"	5.7	0.0735	0.0588	0.0882
"CR6"	"L"	5.8	0.0738	0.05904	0.08856
"CR6"	"L"	5.9	0.0741	0.05928	0.08892
"CR6"	"L"	6	0.0744	0.05952	0.08928
"CR6"	"L"	6.1	0.0747	0.05976	0.08964
"CR6"	"L"	6.2	0.075	0.06	0.09
"CR6"	"L"	6.3	0.0752	0.06016	0.09024
"CR6"	"L"	6.4	0.0755	0.0604	0.0906
"CR6"	"L"	6.5	0.0758	0.06064	0.09096
"CR6"	"L"	6.6	0.076	0.0608	0.0912
"CR6"	"L"	6.7	0.0762	0.06096	0.09144
"CR6"	"L"	6.8	0.0765	0.0612	0.0918
"CR6"	"L"	6.9	0.0767	0.06136	0.09204
"CR6"	"L"	7	0.077	0.0616	0.0924
"CR6"	"L"	7.1	0.0772	0.06176	0.09264
"CR6"	"L"	7.2	0.0774	0.06192	0.09288
"CR6"	"L"	7.3	0.0776	0.06208	0.09312
"CR6"	"L"	7.4	0.0778	0.06224	0.09336
"CR6"	"L"	7.5	0.078	0.0624	0.0936
"CR6"	"L"	7.6	0.0782	0.06256	0.09384
"CR6"	"L"	7.7	0.0784	0.06272	0.09408
"CR6"	"L"	7.8	0.0786	0.06288	0.09432
"CR6"	"L"	7.9	0.0788	0.06304	0.09456
"CR6"	"L"	8	0.079	0.0632	0.0948
"CR6"	"L"	8.1	0.0792	0.06336	0.09504
"CR6"	"L"	8.2	0.0794	0.06352	0.09528
"CR6"	"L"	8.3	0.0795	0.0636	0.0954
"CR6"	"L"	8.4	0.0797	0.06376	0.09564
"CR6"	"L"	8.5	0.0799	0.06392	0.09588
"CR6"	"L"	8.6	0.08	0.064	0.096
"CR6"	"L"	8.7	0.0802	0.06416	0.09624
"CR6"	"L"	8.8	0.0803	0.06424	0.09636
"CR6"	"L"	8.9	0.0805	0.0644	0.0966
"CR6"	"L"	9	0.0806	0.06448	0.09672
"CR6"	"L"	9.1	0.0808	0.06464	0.09696
"CR6"	"L"	9.2	0.0809	0.06472	0.09708
"CR6"	"L"	9.3	0.081	0.0648	0.0972
"CR6"	"L"	9.4	0.0812	0.06496	0.09744
"CR6"	"L"	9.5	0.0813	0.06504	0.09756
"CR6"	"L"	9.6	0.0815	0.0652	0.0978
"CR6"	"L"	9.7	0.0816	0.06528	0.09792
"CR6"	"L"	9.8	0.0817	0.06536	0.09804
"CR6"	"L"	9.9	0.0819	0.06552	0.09828
"CR6"	"L"	10	0.082	0.0656	0.0984
"CR6"	"L"	10.1	0.0821	0.06568	0.09852
"CR6"	"L"	10.2	0.0822	0.06576	0.09864
"CR6"	"L"	10.3	0.0824	0.06592	0.09888
"CR6"	"L"	10.4	0.0825	0.066	0.099
"CR6"	"L"	10.5	0.0826	0.06608	0.09912
"CR6"	"L"	10.6	0.0827	0.06616	0.09924
"CR6"	"L"	10.7	0.0828	0.06624	0.09936
"CR6"	"L"	10.8	0.0829	0.06632	0.09948
"CR6"	"L"	10.9	0.083	0.0664	0.0996
"CR6"	"L"	11	0.0831	0.06648	0.09972
"CR6"	"L"	11.1	0.0832	0.06656	0.09984
"CR6"	"L"	11.2	0.0833	0.06664	0.09996
"CR6"	"L"	11.3	0.0834	0.06672	0.10008
"CR6"	"L"	11.4	0.0835	0.0668	0.1002
"CR6"	"L"	11.5	0.0836	0.06688	0.10032
"CR6"	"L"	11.6	0.0837	0.06696	0.10044
"CR6"	"L"	11.7	0.0838	0.06704	0.10056
"CR6"	"L"	11.8	0.0839	0.06712	0.10068
"CR6"	"L"	11.9	0.084	0.0672	0.1008
"CR6"	"L"	12	0.0841	0.06728	0.10092
"CR6"	"L"	12.1	0.0842	0.06736	0.10104
"CR6"	"L"	12.2	0.0843	0.06744	0.10116
"CR6"	"L"	12.3	0.0844	0.06752	0.10128
"CR6"	"L"	12.4	0.0844	0.06752	0.10128
"CR6"	"L"	12.5	0.0846	0.06768	0.10152
"CR6"	"L"	12.6	0.0846	0.06768	0.10152
"CR6"	"L"	12.7	0.0847	0.06776	0.10164
"CR6"	"L"	12.8	0.0848	0.06784	0.10176
"CR6"	"L"	12.9	0.0849	0.06792	0.10188
"CR6"	"L"	13	0.0849	0.06792	0.10188
"CR6"	"L"	13.1	0.085	0.068	0.102
"CR6"	"L"	13.2	0.0851	0.06808	0.10212
"CR6"	"L"	13.3	0.0852	0.06816	0.10224
"CR6"	"L"	13.4	0.0853	0.06824	0.10236
"CR6"	"L"	13.5	0.0853	0.06824	0.10236
"CR6"	"L"	13.6	0.0854	0.06832	0.10248
"CR6"	"L"	13.7	0.0855	0.0684	0.1026
"CR6"	"L"	13.8	0.0856	0.06848	0.10272
"CR6"	"L"	13.9	0.0856	0.06848	0.10272
"CR6"	"L"	14	0.0857	0.06856	0.10284
"CR6"	"L"	14.1	0.0858	0.06864	0.10296
"CR6"	"L"	14.2	0.0858	0.06864	0.10296
"CR6"	"L"	14.3	0.0859	0.06872	0.10308
"CR6"	"L"	14.4	0.086	0.0688	0.1032
"CR6"	"L"	14.5	0.086	0.0688	0.1032
"CR6"	"L"	14.6	0.0861	0.06888	0.10332
"CR6"	"L"	14.7	0.0862	0.06896	0.10344
"CR6"	"L"	14.8	0.0862	0.06896	0.10344
"CR6"	"L"	14.9	0.0863	0.06904	0.10356
"CR6"	"L"	15	0.0863	0.06904	0.10356
"CR1"	"M"	0.1	9e-04	0.00072	0.00108
"CR1"	"M"	0.2	0.0016	0.00128	0.00192
"CR1"	"M"	0.3	0.0022	0.00176	0.00264
"CR1"	"M"	0.4	0.0028	0.00224	0.00336
"CR1"	"M"	0.5	0.0033	0.00264	0.00396
"CR1"	"M"	0.6	0.0037	0.00296	0.00444
"CR1"	"M"	0.7	0.0041	0.00328	0.00492
"CR1"	"M"	0.8	0.0044	0.00352	0.00528
"CR1"	"M"	0.9	0.0048	0.00384	0.00576
"CR1"	"M"	1	0.005	0.004	0.006
"CR1"	"M"	1.1	0.0053	0.00424	0.00636
"CR1"	"M"	1.2	0.0056	0.00448	0.00672
"CR1"	"M"	1.3	0.0058	0.00464	0.00696
"CR1"	"M"	1.4	0.006	0.0048	0.0072
"CR1"	"M"	1.5	0.0062	0.00496	0.00744
"CR1"	"M"	1.6	0.0063	0.00504	0.00756
"CR1"	"M"	1.7	0.0065	0.0052	0.0078
"CR1"	"M"	1.8	0.0066	0.00528	0.00792
"CR1"	"M"	1.9	0.0068	0.00544	0.00816
"CR1"	"M"	2	0.0069	0.00552	0.00828
"CR1"	"M"	2.1	0.007	0.0056	0.0084
"CR1"	"M"	2.2	0.0072	0.00576	0.00864
"CR1"	"M"	2.3	0.0073	0.00584	0.00876
"CR1"	"M"	2.4	0.0074	0.00592	0.00888
"CR1"	"M"	2.5	0.0074	0.00592	0.00888
"CR1"	"M"	2.6	0.0076	0.00608	0.00912
"CR1"	"M"	2.7	0.0076	0.00608	0.00912
"CR1"	"M"	2.8	0.0077	0.00616	0.00924
"CR1"	"M"	2.9	0.0078	0.00624	0.00936
"CR1"	"M"	3	0.0079	0.00632	0.00948
"CR1"	"M"	3.1	0.008	0.0064	0.0096
"CR1"	"M"	3.2	0.008	0.0064	0.0096
"CR1"	"M"	3.3	0.0081	0.00648	0.00972
"CR1"	"M"	3.4	0.0081	0.00648	0.00972
"CR1"	"M"	3.5	0.0082	0.00656	0.00984
"CR1"	"M"	3.6	0.0082	0.00656	0.00984
"CR1"	"M"	3.7	0.0083	0.00664	0.00996
"CR1"	"M"	3.8	0.0084	0.00672	0.01008
"CR1"	"M"	3.9	0.0084	0.00672	0.01008
"CR1"	"M"	4	0.0084	0.00672	0.01008
"CR1"	"M"	4.1	0.0085	0.0068	0.0102
"CR1"	"M"	4.2	0.0086	0.00688	0.01032
"CR1"	"M"	4.3	0.0086	0.00688	0.01032
"CR1"	"M"	4.4	0.0086	0.00688	0.01032
"CR1"	"M"	4.5	0.0087	0.00696	0.01044
"CR1"	"M"	4.6	0.0087	0.00696	0.01044
"CR1"	"M"	4.7	0.0088	0.00704	0.01056
"CR1"	"M"	4.8	0.0088	0.00704	0.01056
"CR1"	"M"	4.9	0.0088	0.00704	0.01056
"CR1"	"M"	5	0.0088	0.00704	0.01056
"CR1"	"M"	5.1	0.0089	0.00712	0.01068
"CR1"	"M"	5.2	0.0089	0.00712	0.01068
"CR1"	"M"	5.3	0.009	0.0072	0.0108
"CR1"	"M"	5.4	0.009	0.0072	0.0108
"CR1"	"M"	5.5	0.009	0.0072	0.0108
"CR1"	"M"	5.6	0.009	0.0072	0.0108
"CR1"	"M"	5.7	0.0091	0.00728	0.01092
"CR1"	"M"	5.8	0.0091	0.00728	0.01092
"CR1"	"M"	5.9	0.0091	0.00728	0.01092
"CR1"	"M"	6	0.0092	0.00736	0.01104
"CR1"	"M"	6.1	0.0092	0.00736	0.01104
"CR1"	"M"	6.2	0.0092	0.00736	0.01104
"CR1"	"M"	6.3	0.0092	0.00736	0.01104
"CR1"	"M"	6.4	0.0092	0.00736	0.01104
"CR1"	"M"	6.5	0.0092	0.00736	0.01104
"CR1"	"M"	6.6	0.0093	0.00744	0.01116
"CR1"	"M"	6.7	0.0093	0.00744	0.01116
"CR1"	"M"	6.8	0.0093	0.00744	0.01116
"CR1"	"M"	6.9	0.0093	0.00744	0.01116
"CR1"	"M"	7	0.0094	0.00752	0.01128
"CR1"	"M"	7.1	0.0094	0.00752	0.01128
"CR1"	"M"	7.2	0.0094	0.00752	0.01128
"CR1"	"M"	7.3	0.0094	0.00752	0.01128
"CR1"	"M"	7.4	0.0094	0.00752	0.01128
"CR1"	"M"	7.5	0.0094	0.00752	0.01128
"CR1"	"M"	7.6	0.0094	0.00752	0.01128
"CR1"	"M"	7.7	0.0095	0.0076	0.0114
"CR1"	"M"	7.8	0.0095	0.0076	0.0114
"CR1"	"M"	7.9	0.0095	0.0076	0.0114
"CR1"	"M"	8	0.0095	0.0076	0.0114
"CR1"	"M"	8.1	0.0095	0.0076	0.0114
"CR1"	"M"	8.2	0.0096	0.00768	0.01152
"CR1"	"M"	8.3	0.0096	0.00768	0.01152
"CR1"	"M"	8.4	0.0096	0.00768	0.01152
"CR1"	"M"	8.5	0.0096	0.00768	0.01152
"CR1"	"M"	8.6	0.0096	0.00768	0.01152
"CR1"	"M"	8.7	0.0096	0.00768	0.01152
"CR1"	"M"	8.8	0.0096	0.00768	0.01152
"CR1"	"M"	8.9	0.0097	0.00776	0.01164
"CR1"	"M"	9	0.0097	0.00776	0.01164
"CR1"	"M"	9.1	0.0097	0.00776	0.01164
"CR1"	"M"	9.2	0.0097	0.00776	0.01164
"CR1"	"M"	9.3	0.0097	0.00776	0.01164
"CR1"	"M"	9.4	0.0097	0.00776	0.01164
"CR1"	"M"	9.5	0.0097	0.00776	0.01164
"CR1"	"M"	9.6	0.0097	0.00776	0.01164
"CR1"	"M"	9.7	0.0097	0.00776	0.01164
"CR1"	"M"	9.8	0.0098	0.00784	0.01176
"CR1"	"M"	9.9	0.0098	0.00784	0.01176
"CR1"	"M"	10	0.0098	0.00784	0.01176
"CR1"	"M"	10.1	0.0098	0.00784	0.01176
"CR1"	"M"	10.2	0.0098	0.00784	0.01176
"CR1"	"M"	10.3	0.0098	0.00784	0.01176
"CR1"	"M"	10.4	0.0098	0.00784	0.01176
"CR1"	"M"	10.5	0.0098	0.00784	0.01176
"CR1"	"M"	10.6	0.0098	0.00784	0.01176
"CR1"	"M"	10.7	0.0098	0.00784	0.01176
"CR1"	"M"	10.8	0.0098	0.00784	0.01176
"CR1"	"M"	10.9	0.0098	0.00784	0.01176
"CR1"	"M"	11	0.0098	0.00784	0.01176
"CR1"	"M"	11.1	0.0099	0.00792	0.01188
"CR1"	"M"	11.2	0.0099	0.00792	0.01188
"CR1"	"M"	11.3	0.0099	0.00792	0.01188
"CR1"	"M"	11.4	0.0099	0.00792	0.01188
"CR1"	"M"	11.5	0.0099	0.00792	0.01188
"CR1"	"M"	11.6	0.0099	0.00792	0.01188
"CR1"	"M"	11.7	0.0099	0.00792	0.01188
"CR1"	"M"	11.8	0.0099	0.00792	0.01188
"CR1"	"M"	11.9	0.0099	0.00792	0.01188
"CR1"	"M"	12	0.0099	0.00792	0.01188
"CR1"	"M"	12.1	0.01	0.008	0.012
"CR1"	"M"	12.2	0.01	0.008	0.012
"CR1"	"M"	12.3	0.01	0.008	0.012
"CR1"	"M"	12.4	0.01	0.008	0.012
"CR1"	"M"	12.5	0.01	0.008	0.012
"CR1"	"M"	12.6	0.01	0.008	0.012
"CR1"	"M"	12.7	0.01	0.008	0.012
"CR1"	"M"	12.8	0.01	0.008	0.012
"CR1"	"M"	12.9	0.01	0.008	0.012
"CR1"	"M"	13	0.01	0.008	0.012
"CR1"	"M"	13.1	0.01	0.008	0.012
"CR1"	"M"	13.2	0.01	0.008	0.012
"CR1"	"M"	13.3	0.01	0.008	0.012
"CR1"	"M"	13.4	0.01	0.008	0.012
"CR1"	"M"	13.5	0.01	0.008	0.012
"CR1"	"M"	13.6	0.01	0.008	0.012
"CR1"	"M"	13.7	0.01	0.008	0.012
"CR1"	"M"	13.8	0.01	0.008	0.012
"CR1"	"M"	13.9	0.01	0.008	0.012
"CR1"	"M"	14	0.01	0.008	0.012
"CR1"	"M"	14.1	0.0101	0.00808	0.01212
"CR1"	"M"	14.2	0.0101	0.00808	0.01212
"CR1"	"M"	14.3	0.0101	0.00808	0.01212
"CR1"	"M"	14.4	0.0101	0.00808	0.01212
"CR1"	"M"	14.5	0.0101	0.00808	0.01212
"CR1"	"M"	14.6	0.0101	0.00808	0.01212
"CR1"	"M"	14.7	0.0101	0.00808	0.01212
"CR1"	"M"	14.8	0.0101	0.00808	0.01212
"CR1"	"M"	14.9	0.0101	0.00808	0.01212
"CR1"	"M"	15	0.0101	0.00808	0.01212
"CR2"	"M"	0.1	4e-04	0.00032	0.00048
"CR2"	"M"	0.2	9e-04	0.00072	0.00108
"CR2"	"M"	0.3	0.0014	0.00112	0.00168
"CR2"	"M"	0.4	0.0018	0.00144	0.00216
"CR2"	"M"	0.5	0.0022	0.00176	0.00264
"CR2"	"M"	0.6	0.0026	0.00208	0.00312
"CR2"	"M"	0.7	0.0031	0.00248	0.00372
"CR2"	"M"	0.8	0.0035	0.0028	0.0042
"CR2"	"M"	0.9	0.0039	0.00312	0.00468
"CR2"	"M"	1	0.0043	0.00344	0.00516
"CR2"	"M"	1.1	0.0046	0.00368	0.00552
"CR2"	"M"	1.2	0.005	0.004	0.006
"CR2"	"M"	1.3	0.0054	0.00432	0.00648
"CR2"	"M"	1.4	0.0058	0.00464	0.00696
"CR2"	"M"	1.5	0.0062	0.00496	0.00744
"CR2"	"M"	1.6	0.0066	0.00528	0.00792
"CR2"	"M"	1.7	0.0069	0.00552	0.00828
"CR2"	"M"	1.8	0.0073	0.00584	0.00876
"CR2"	"M"	1.9	0.0076	0.00608	0.00912
"CR2"	"M"	2	0.008	0.0064	0.0096
"CR2"	"M"	2.1	0.0083	0.00664	0.00996
"CR2"	"M"	2.2	0.0086	0.00688	0.01032
"CR2"	"M"	2.3	0.009	0.0072	0.0108
"CR2"	"M"	2.4	0.0093	0.00744	0.01116
"CR2"	"M"	2.5	0.0097	0.00776	0.01164
"CR2"	"M"	2.6	0.01	0.008	0.012
"CR2"	"M"	2.7	0.0103	0.00824	0.01236
"CR2"	"M"	2.8	0.0106	0.00848	0.01272
"CR2"	"M"	2.9	0.0109	0.00872	0.01308
"CR2"	"M"	3	0.0112	0.00896	0.01344
"CR2"	"M"	3.1	0.0115	0.0092	0.0138
"CR2"	"M"	3.2	0.0118	0.00944	0.01416
"CR2"	"M"	3.3	0.0121	0.00968	0.01452
"CR2"	"M"	3.4	0.0124	0.00992	0.01488
"CR2"	"M"	3.5	0.0127	0.01016	0.01524
"CR2"	"M"	3.6	0.013	0.0104	0.0156
"CR2"	"M"	3.7	0.0133	0.01064	0.01596
"CR2"	"M"	3.8	0.0136	0.01088	0.01632
"CR2"	"M"	3.9	0.0138	0.01104	0.01656
"CR2"	"M"	4	0.0141	0.01128	0.01692
"CR2"	"M"	4.1	0.0144	0.01152	0.01728
"CR2"	"M"	4.2	0.0146	0.01168	0.01752
"CR2"	"M"	4.3	0.0149	0.01192	0.01788
"CR2"	"M"	4.4	0.0152	0.01216	0.01824
"CR2"	"M"	4.5	0.0154	0.01232	0.01848
"CR2"	"M"	4.6	0.0157	0.01256	0.01884
"CR2"	"M"	4.7	0.0159	0.01272	0.01908
"CR2"	"M"	4.8	0.0162	0.01296	0.01944
"CR2"	"M"	4.9	0.0164	0.01312	0.01968
"CR2"	"M"	5	0.0167	0.01336	0.02004
"CR2"	"M"	5.1	0.0169	0.01352	0.02028
"CR2"	"M"	5.2	0.0171	0.01368	0.02052
"CR2"	"M"	5.3	0.0174	0.01392	0.02088
"CR2"	"M"	5.4	0.0176	0.01408	0.02112
"CR2"	"M"	5.5	0.0178	0.01424	0.02136
"CR2"	"M"	5.6	0.018	0.0144	0.0216
"CR2"	"M"	5.7	0.0183	0.01464	0.02196
"CR2"	"M"	5.8	0.0185	0.0148	0.0222
"CR2"	"M"	5.9	0.0187	0.01496	0.02244
"CR2"	"M"	6	0.019	0.0152	0.0228
"CR2"	"M"	6.1	0.0192	0.01536	0.02304
"CR2"	"M"	6.2	0.0194	0.01552	0.02328
"CR2"	"M"	6.3	0.0196	0.01568	0.02352
"CR2"	"M"	6.4	0.0198	0.01584	0.02376
"CR2"	"M"	6.5	0.02	0.016	0.024
"CR2"	"M"	6.6	0.0202	0.01616	0.02424
"CR2"	"M"	6.7	0.0204	0.01632	0.02448
"CR2"	"M"	6.8	0.0206	0.01648	0.02472
"CR2"	"M"	6.9	0.0208	0.01664	0.02496
"CR2"	"M"	7	0.021	0.0168	0.0252
"CR2"	"M"	7.1	0.0212	0.01696	0.02544
"CR2"	"M"	7.2	0.0214	0.01712	0.02568
"CR2"	"M"	7.3	0.0216	0.01728	0.02592
"CR2"	"M"	7.4	0.0218	0.01744	0.02616
"CR2"	"M"	7.5	0.022	0.0176	0.0264
"CR2"	"M"	7.6	0.0221	0.01768	0.02652
"CR2"	"M"	7.7	0.0223	0.01784	0.02676
"CR2"	"M"	7.8	0.0225	0.018	0.027
"CR2"	"M"	7.9	0.0227	0.01816	0.02724
"CR2"	"M"	8	0.0229	0.01832	0.02748
"CR2"	"M"	8.1	0.0231	0.01848	0.02772
"CR2"	"M"	8.2	0.0232	0.01856	0.02784
"CR2"	"M"	8.3	0.0234	0.01872	0.02808
"CR2"	"M"	8.4	0.0236	0.01888	0.02832
"CR2"	"M"	8.5	0.0238	0.01904	0.02856
"CR2"	"M"	8.6	0.0239	0.01912	0.02868
"CR2"	"M"	8.7	0.0241	0.01928	0.02892
"CR2"	"M"	8.8	0.0243	0.01944	0.02916
"CR2"	"M"	8.9	0.0244	0.01952	0.02928
"CR2"	"M"	9	0.0246	0.01968	0.02952
"CR2"	"M"	9.1	0.0247	0.01976	0.02964
"CR2"	"M"	9.2	0.0249	0.01992	0.02988
"CR2"	"M"	9.3	0.025	0.02	0.03
"CR2"	"M"	9.4	0.0252	0.02016	0.03024
"CR2"	"M"	9.5	0.0254	0.02032	0.03048
"CR2"	"M"	9.6	0.0255	0.0204	0.0306
"CR2"	"M"	9.7	0.0257	0.02056	0.03084
"CR2"	"M"	9.8	0.0258	0.02064	0.03096
"CR2"	"M"	9.9	0.026	0.0208	0.0312
"CR2"	"M"	10	0.0261	0.02088	0.03132
"CR2"	"M"	10.1	0.0263	0.02104	0.03156
"CR2"	"M"	10.2	0.0264	0.02112	0.03168
"CR2"	"M"	10.3	0.0266	0.02128	0.03192
"CR2"	"M"	10.4	0.0267	0.02136	0.03204
"CR2"	"M"	10.5	0.0268	0.02144	0.03216
"CR2"	"M"	10.6	0.027	0.0216	0.0324
"CR2"	"M"	10.7	0.0271	0.02168	0.03252
"CR2"	"M"	10.8	0.0273	0.02184	0.03276
"CR2"	"M"	10.9	0.0274	0.02192	0.03288
"CR2"	"M"	11	0.0276	0.02208	0.03312
"CR2"	"M"	11.1	0.0277	0.02216	0.03324
"CR2"	"M"	11.2	0.0278	0.02224	0.03336
"CR2"	"M"	11.3	0.0279	0.02232	0.03348
"CR2"	"M"	11.4	0.0281	0.02248	0.03372
"CR2"	"M"	11.5	0.0282	0.02256	0.03384
"CR2"	"M"	11.6	0.0284	0.02272	0.03408
"CR2"	"M"	11.7	0.0285	0.0228	0.0342
"CR2"	"M"	11.8	0.0286	0.02288	0.03432
"CR2"	"M"	11.9	0.0287	0.02296	0.03444
"CR2"	"M"	12	0.0289	0.02312	0.03468
"CR2"	"M"	12.1	0.029	0.0232	0.0348
"CR2"	"M"	12.2	0.0291	0.02328	0.03492
"CR2"	"M"	12.3	0.0292	0.02336	0.03504
"CR2"	"M"	12.4	0.0294	0.02352	0.03528
"CR2"	"M"	12.5	0.0295	0.0236	0.0354
"CR2"	"M"	12.6	0.0296	0.02368	0.03552
"CR2"	"M"	12.7	0.0297	0.02376	0.03564
"CR2"	"M"	12.8	0.0298	0.02384	0.03576
"CR2"	"M"	12.9	0.03	0.024	0.036
"CR2"	"M"	13	0.0301	0.02408	0.03612
"CR2"	"M"	13.1	0.0302	0.02416	0.03624
"CR2"	"M"	13.2	0.0303	0.02424	0.03636
"CR2"	"M"	13.3	0.0304	0.02432	0.03648
"CR2"	"M"	13.4	0.0305	0.0244	0.0366
"CR2"	"M"	13.5	0.0306	0.02448	0.03672
"CR2"	"M"	13.6	0.0307	0.02456	0.03684
"CR2"	"M"	13.7	0.0308	0.02464	0.03696
"CR2"	"M"	13.8	0.031	0.0248	0.0372
"CR2"	"M"	13.9	0.0311	0.02488	0.03732
"CR2"	"M"	14	0.0312	0.02496	0.03744
"CR2"	"M"	14.1	0.0313	0.02504	0.03756
"CR2"	"M"	14.2	0.0314	0.02512	0.03768
"CR2"	"M"	14.3	0.0315	0.0252	0.0378
"CR2"	"M"	14.4	0.0316	0.02528	0.03792
"CR2"	"M"	14.5	0.0317	0.02536	0.03804
"CR2"	"M"	14.6	0.0318	0.02544	0.03816
"CR2"	"M"	14.7	0.0319	0.02552	0.03828
"CR2"	"M"	14.8	0.032	0.0256	0.0384
"CR2"	"M"	14.9	0.0321	0.02568	0.03852
