Strain	Bead	Day	Dilu	Trial	Count
CR2	C	17	3	2	7
CR2	C	17	3	3	10
CR2	L	17	3	1	166
CR2	L	17	3	2	8
CR2	L	17	3	3	7
CR2	H	17	3	1	82
CR2	H	17	3	2	0
CR2	H	17	3	3	234
CR4	C	17	3	1	66
CR4	C	17	3	2	62
CR4	C	17	3	3	35
CR4	L	17	3	1	116
CR4	L	17	3	2	61
CR4	L	17	3	3	92
CR4	H	17	3	1	23
CR4	H	17	3	2	1
CR4	H	17	3	3	24
CR2-CR4	C	17	3	1	68
CR2-CR4	C	17	3	2	44
CR2-CR4	C	17	3	3	112
CR2-CR4	L	17	3	1	29
CR2-CR4	L	17	3	2	114
CR2-CR4	L	17	3	3	14
CR2-CR4	H	17	3	1	1
CR2-CR4	H	17	3	2	53
CR2-CR4	H	17	3	3	36
CR2	C	18	3	1	84
CR2	C	18	3	2	9
CR2	C	18	3	3	21
CR2	L	18	3	1	86
CR2	L	18	3	2	9
CR2	L	18	3	3	13
CR2	H	18	3	1	80
CR2	H	18	3	2	0
CR2	H	18	3	3	130
CR4	C	18	3	1	72
CR4	C	18	3	2	51
CR4	C	18	3	3	22
CR4	L	18	3	1	136
CR4	L	18	3	2	58
CR4	L	18	3	3	103
CR4	H	18	3	1	32
CR4	H	18	3	2	0
CR4	H	18	3	3	26
CR2-CR4	C	18	3	1	64
CR2-CR4	C	18	3	2	78
CR2-CR4	C	18	3	3	102
CR2-CR4	L	18	3	1	32
CR2-CR4	L	18	3	2	92
CR2-CR4	L	18	3	3	15
CR2-CR4	H	18	3	1	0
CR2-CR4	H	18	3	2	38
CR2-CR4	H	18	3	3	48
CR2	C	19	3	1	80
CR2	C	19	3	2	10
CR2	C	19	3	3	35
CR2	L	19	3	1	118
CR2	L	19	3	2	15
CR2	L	19	3	3	19
CR2	H	19	3	1	86
CR2	H	19	3	2	0
CR2	H	19	3	3	132
CR4	C	19	3	1	60
CR4	C	19	3	2	56
CR4	C	19	3	3	17
CR4	L	19	3	1	118
CR4	L	19	3	2	80
CR4	L	19	3	3	98
CR4	H	19	3	1	26
CR4	H	19	3	2	0
CR4	H	19	3	3	22
CR2-CR4	C	19	3	1	78
CR2-CR4	C	19	3	2	88
CR2-CR4	C	19	3	3	82
CR2-CR4	L	19	3	1	50
CR2-CR4	L	19	3	2	104
CR2-CR4	L	19	3	3	9
CR2-CR4	H	19	3	1	0
CR2-CR4	H	19	3	2	34
CR2-CR4	H	19	3	3	40
CR2	C	20	3	1	84
