Strain	Bead	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR2	C	5	21	2	1,29	11	1	241
CR2	C	5	21	2	1,29	11	2	248
CR2	C	5	21	2	1,29	11	3	212
CR2	L	5	21	2	1,29	11	1	191
CR2	L	5	21	2	1,29	11	2	547
CR2	L	5	21	2	1,29	11	3	333
CR2	M	5	21	2	1,29	11	1	1268
CR2	M	5	21	2	1,29	11	2	765
CR2	M	5	21	2	1,29	11	3	1114
CR2	H	5	21	2	1,29	11	1	829
CR2	H	5	21	2	1,29	11	2	1119
CR2	H	5	21	2	1,29	11	3	953
CR4	C	5	21	2	1,29	11	1	222
CR4	C	5	21	2	1,29	11	2	289
CR4	C	5	21	2	1,29	11	3	197
CR4	L	5	21	2	1,29	11	1	363
CR4	L	5	21	2	1,29	11	2	311
CR4	L	5	21	2	1,29	11	3	294
CR4	M	5	21	2	1,29	11	1	3012
CR4	M	5	21	2	1,29	11	2	1210
CR4	M	5	21	2	1,29	11	3	3532
CR4	H	5	21	2	1,29	11	1	2350
CR4	H	5	21	2	1,29	11	2	2674
CR4	H	5	21	2	1,29	11	3	2859
CR2-CR4	C	5	21	2	1,29	11	1	191
CR2-CR4	C	5	21	2	1,29	11	2	195
CR2-CR4	C	5	21	2	1,29	11	3	118
CR2-CR4	L	5	21	2	1,29	11	1	217
CR2-CR4	L	5	21	2	1,29	11	2	183
CR2-CR4	L	5	21	2	1,29	11	3	172
CR2-CR4	M	5	21	2	1,29	11	1	198
CR2-CR4	M	5	21	2	1,29	11	2	237
CR2-CR4	M	5	21	2	1,29	11	3	305
CR2-CR4	H	5	21	2	1,29	11	1	2477
CR2-CR4	H	5	21	2	1,29	11	2	2655
CR2-CR4	H	5	21	2	1,29	11	3	2367
CR7-CR4	C	5	21	2	1,29	11	1	222
